Observation,,StartTime,DayOfWeek,GoingTo,Distance,MaxSpeed,AvgSpeed,AvgMovingSpeed,FuelEconomy,TotalTime,MovingTime,Take407All
135,,7:50,Tuesday,GSK,54.36,132.5,95.1,98,8.5,34.3,33.3,Yes
136,,17:07,Friday,Home,51.17,129.7,77.7,87.9,8.5,39.5,34.9,No
137,,7:39,Friday,GSK,51.65,132.7,82.6,91.4,8.5,37.5,33.9,No
138,,17:33,Thursday,Home,52.42,128.9,81.6,88,8.5,38.5,35.7,No
139,,8:08,Thursday,GSK,49.13,126.8,67.3,73.9,8.5,43.8,39.9,No
140,,17:14,Wednesday,Home,51.15,140.9,71.5,79.5,8.5,42.9,38.6,No
141,,8:09,Wednesday,GSK,49.07,127.7,65.9,77.3,8.5,44.7,38.1,No
142,,17:38,Tuesday,Home,51.66,138,67.1,73.2,8.5,46.2,42.4,No
143,,7:57,Tuesday,GSK,49.04,133.5,69.1,77.8,8.5,42.6,37.8,No
144,,17:11,Monday,Home,51.04,131,75.5,84.1,8.5,40.5,36.4,No
145,,7:48,Monday,GSK,49.15,124,63.9,74,8.5,46.1,39.9,No
146,,16:29,Friday,Home,50.88,132.7,81.1,86.9,8.54,37.6,35.2,No
147,,7:49,Friday,GSK,49.01,129.1,76.3,83.3,8.54,38.6,35.3,No
148,,17:39,Thursday,Home,51.23,132.8,64.2,70.6,8.54,47.9,43.5,No
149,,9:09,Thursday,GSK,50.45,133.5,106.8,111.1,8.54,28.3,27.3,Yes
150,,16:47,Wednesday,Home,51.01,132.9,79.6,86.1,8.54,38.5,38.5,No
151,,7:59,Wednesday,GSK,49.07,127.1,58.5,71.5,8.54,50.3,41.1,No
152,,17:23,Tuesday,Home,51.22,129.7,79.7,84.5,8.54,38.5,36.4,No
153,,7:54,Tuesday,GSK,49.2,124.5,71,76.7,8.54,41.6,38.5,No
154,,16:44,Monday,Home,51.12,126.8,77.9,85.2,8.54,39.6,36,No
155,,7:49,Monday,GSK,49.18,123.8,65.6,73.3,8.54,45,40.2,No
156,,17:42,Friday,Home,51.09,126.5,78.1,81.6,8.37,39.3,37.6,No
157,,7:05,Friday,GSK,49.18,123,72,81.4,8.37,41,36.3,No
158,,17:05,Thursday,Home,50.97,129.6,66.6,76.2,8.37,45.9,40.2,No
159,,8:11,Thursday,GSK,52.26,137.7,51.2,64.1,8.37,61.2,48.9,No
160,,17:17,Wednesday,Home,51.11,129.8,68.9,75.7,8.37,44.5,40.5,No
161,,8:10,Wednesday,GSK,49.1,124.8,67.9,76.2,8.37,43.4,38.7,No
162,,17:27,Tuesday,Home,51.14,133.4,82.4,87,8.37,37.2,35.3,No
163,,8:15,Tuesday,GSK,49.14,131.7,75,80.2,8.37,39.3,36.7,No
164,,17:38,Monday,Home,51.11,132.3,78,83.7,8.37,39.3,36.7,No
165,,8:15,Monday,GSK,49.2,124.7,71.3,75.7,8.37,41.4,39,No
166,,17:25,Friday,Home,55.57,127.7,69.6,77.1,8.54,47.9,43.2,No
167,,8:05,Friday,GSK,49.02,128.4,76.7,82.9,8.54,38.4,35.5,No
168,,17:25,Thursday,Home,51.18,133.6,80.7,86,8.54,38,35.7,No
169,,8:13,Thursday,GSK,48.99,125.5,68.3,79.5,8.54,43,37,No
170,,17:14,Wednesday,Home,51.03,127.4,73.5,79.3,8.54,41.7,38.6,No
171,,8:13,Wednesday,GSK,48.98,124.8,72.8,78.8,8.54,40.4,37.3,No
172,,17:13,Tuesday,Home,51.15,127.1,72.1,82.3,8.54,42.5,37.3,No
173,,8:15,Tuesday,GSK,49.08,134.8,60.5,67.2,8.54,48.7,43.8,No
174,,17:05,Monday,Home,52.35,127.5,76.9,84.2,8.54,40.9,37.3,No
175,,8:07,Monday,GSK,49.25,126.3,68.5,78.2,8.54,43.1,37.8,No
176,,17:00,Friday,Home,51.94,126.7,74.5,82.6,8.48,41.9,37.7,No
177,,8:20,Friday,GSK,49.13,123.9,74.1,79.9,8.48,39.8,36.9,No
178,,17:38,Thursday,Home,50.96,131.9,70.3,78.5,8.48,43.5,38.9,No
179,,8:17,Thursday,GSK,49.12,122.4,71.5,77.3,8.48,41.2,38.2,No
180,,17:14,Wednesday,Home,51.64,125,72.2,78.7,8.48,42.9,39.4,No
181,,8:06,Wednesday,GSK,49.06,121.9,71.5,78.7,8.48,41.2,37.4,No
182,,17:22,Tuesday,Home,51.16,124.2,76.3,83.2,8.48,40.2,36.9,No
183,,7:38,Tuesday,GSK,53.48,124.9,68.8,78.8,8.48,46.7,40.7,No
184,,20:31,Friday,Home,50.68,135.6,107.7,110.4,8.45,28.2,27.6,Yes
185,,8:22,Friday,GSK,49.07,121.1,73.2,77.7,8.45,40.2,37.9,No
186,,17:46,Thursday,Home,51.09,128.5,76,84.8,8.45,40.3,36.2,No
187,,8:11,Thursday,GSK,49.11,120.1,69.1,73.1,8.45,42.6,40.3,No
188,,17:24,Wednesday,Home,50.98,124.9,68.3,71.9,8.45,44.8,42.6,No
189,,8:15,Wednesday,GSK,48.82,124.5,70.4,77.8,8.45,41.6,37.6,No
190,,17:15,Tuesday,Home,51.28,122.1,43.7,51.5,8.45,70.5,59.8,No
191,,8:11,Tuesday,GSK,49.16,122.6,71.9,76.8,8.45,41,38.4,No
192,,16:59,Monday,Home,51.05,126.6,70.4,78.8,8.45,51.1,38.9,No
193,,8:06,Monday,GSK,48.32,121.2,63.4,78.4,8.45,45.7,37,No
194,,16:47,Friday,Home,51.24,126.3,75.8,81.8,8.28,40.6,37.6,No
195,,8:28,Friday,GSK,51.05,123.3,88.9,96.7,8.28,34.5,31.7,Yes
196,,7:59,Thursday,GSK,48.35,129.3,81.5,89,8.28,35.6,32.6,Yes
197,,17:17,Wednesday,Home,53.47,124,58.6,71,7.89,54.8,45.2,No
198,,8:24,Wednesday,GSK,48.5,125.8,75.7,87.3,7.89,38.5,33.3,Yes
199,,17:17,Tuesday,Home,51.16,126.7,92.2,102.6,7.89,33.3,29.9,Yes
200,,8:11,Tuesday,GSK,50.96,124.3,82.3,96.4,7.89,37.2,31.7,Yes
201,,8:09,Monday,GSK,54.52,125.6,49.9,82.4,7.89,65.5,39.7,No
202,,8:03,Thursday,GSK,50.9,123.7,76.2,95.1,7.89,40.1,32.1,Yes
203,,17:08,Wednesday,Home,51.96,132.6,57.5,76.7,,54.2,40.6,Yes
204,,17:51,Tuesday,Home,53.28,125.8,61.6,87.6,,51.9,36.5,Yes
205,,16:56,Monday,Home,51.73,125,62.8,92.5,,49.5,33.6,Yes
