PLAYER,TEAM,GP,PTS
Jerian Grant,WAS,6,4.5
Jerome Robinson,WAS,63,5.1
Jevon Carter,PHX,58,4.9
Jimmy Butler,MIA,58,19.9
Joakim Noah,LAC,5,2.8
Joe Chealey,CHA,4,0.5
Joe Harris,BKN,69,14.5
Joe Ingles,UTA,72,9.8
Joel Embiid,PHI,51,23
John Collins,ATL,41,21.6
John Henson,DET,40,5.5
John Konchar,MEM,19,2.8
Johnathan Motley,LAC,13,2.2
Johnathan Williams,WAS,15,3
Jonah Bolden,PHX,7,1.4
Jonas Valanciunas,MEM,70,14.9
Jonathan Isaac,ORL,34,11.9
Jordan Bell,CLE,29,3.2
Jordan Bone,DET,10,1.2
Jordan Clarkson,UTA,71,15.2
Jordan McLaughlin,MIN,30,7.6
Jordan McRae,DET,37,11.5
Jordan Poole,GSW,57,8.8
Josh Gray,NOP,2,1
Josh Hart,NOP,65,10.1
Josh Jackson,MEM,22,9
Josh Magette,ORL,8,1.5
Josh Okogie,MIN,62,8.6
Josh Reaves,DAL,4,2
Josh Richardson,PHI,55,13.7
Jrue Holiday,NOP,61,19.1
Juan Toscano-Anderson,GSW,13,5.3
Juancho Hernangomez,MIN,48,6
Julius Randle,NYK,64,19.5
Justin Anderson,BKN,10,2.8
Justin Holiday,IND,73,8.3
Justin Jackson,DAL,65,5.5
Justin James,SAC,36,2.5
Justin Patton,DET,5,1.8
Justin Robinson,WAS,9,1.4
Justin Wright-Foreman,UTA,4,4.8
Justise Winslow,MEM,11,11.3
Jusuf Nurkic,POR,8,17.6
Juwan Morgan,UTA,21,1.7
KZ Okpala,MIA,5,1.4
Kadeem Allen,NYK,10,5
Karl-Anthony Towns,MIN,35,26.5
Kawhi Leonard,LAC,57,27.1
Keita Bates-Diop,DEN,44,6.5
Kelan Martin,MIN,31,6.4
Keldon Johnson,SAS,17,9.1
Kelly Olynyk,MIA,67,8.2
Kelly Oubre Jr.,PHX,56,18.7
Kemba Walker,BOS,56,20.4
Kendrick Nunn,MIA,67,15.3
Kenrich Williams,NOP,39,3.5
Kent Bazemore,SAC,68,8.8
Kentavious Caldwell-Pope,LAL,69,9.3
Kevin Hervey,OKC,10,1.7
Kevin Huerter,ATL,56,12.2
Kevin Knox II,NYK,65,6.4
Kevin Love,CLE,56,17.6
Kevin Porter Jr.,CLE,50,10
Kevon Looney,GSW,20,3.4
Khem Birch,ORL,48,4.4
Khris Middleton,MIL,62,20.9
Khyri Thomas,DET,8,2.1
Kostas Antetokounmpo,LAL,5,1.4
Kris Dunn,CHI,51,7.3
Kristaps Porzingis,DAL,57,20.4
Ky Bowman,GSW,45,7.4
Kyle Alexander,MIA,2,1
Kyle Anderson,MEM,67,5.8
Kyle Guy,SAC,3,1.3
Kyle Korver,MIL,58,6.7
Kyle Kuzma,LAL,61,12.8
Kyle Lowry,TOR,58,19.4
Kyle O'Quinn,PHI,29,3.5
Kyrie Irving,BKN,20,27.4
LaMarcus Aldridge,SAS,53,18.9
Lance Thomas,BKN,7,3.4
Landry Shamet,LAC,53,9.3
Langston Galloway,DET,66,10.3
Larry Nance Jr.,CLE,56,10.1
Lauri Markkanen,CHI,50,14.7
LeBron James,LAL,67,25.3
Lonnie Walker IV,SAS,61,6.4
Lonzo Ball,NOP,63,11.8
Lou Williams,LAC,65,18.2
Louis King,DET,10,2
Luc Mbah a Moute,HOU,3,1.7
Luguentz Dort,OKC,36,6.8
Luka Doncic,DAL,61,28.8
Luka Samanic,SAS,3,5.3
Luke Kennard,DET,28,15.8
Luke Kornet,CHI,36,6
Malcolm Brogdon,IND,54,16.5
Malcolm Miller,TOR,28,1.3
Malik Beasley,MIN,55,11.2
Malik Monk,CHA,55,10.3
Malik Newman,CLE,1,2
Marc Gasol,TOR,44,7.5
Marco Belinelli,SAS,57,6.3
Marcus Morris Sr.,LAC,62,16.7
Marcus Smart,BOS,60,12.9
Marial Shayok,PHI,4,2.8
Mario Hezonja,POR,53,4.8
Markelle Fultz,ORL,72,12.1
Markieff Morris,LAL,58,9.7
Marko Guduric,MEM,44,3.9
Marques Bolden,CLE,1,0
Marquese Chriss,GSW,59,9.3
Marvin Bagley III,SAC,13,14.2
Marvin Williams,MIL,58,5.9
Mason Plumlee,DEN,61,7.2
Matisse Thybulle,PHI,65,4.7
Matt Mooney,CLE,4,0.5
Matt Thomas,TOR,41,4.9
Matthew Dellavedova,CLE,57,3.1
Maurice Harkless,NYK,62,5.8
Max Strus,CHI,2,2.5
Maxi Kleber,DAL,74,9.1
Melvin Frazier Jr.,ORL,19,2.1
Meyers Leonard,MIA,51,6.1
Mfiondu Kabengele,LAC,12,3.5
Michael Carter-Williams,ORL,45,7.2
Michael Frazier,HOU,13,2.1
Michael Kidd-Gilchrist,DAL,25,2.4
Michael Porter Jr.,DEN,55,9.3
Mikal Bridges,PHX,73,9.1
Mike Conley,UTA,47,14.4
Mike Muscala,OKC,47,4.8
Mike Scott,PHI,68,6
Miles Bridges,CHA,65,13
Mitchell Robinson,NYK,61,9.7
Miye Oni,UTA,10,3.5
Mo Bamba,ORL,62,5.4
Monte Morris,DEN,73,9
Montrezl Harrell,LAC,63,18.6
Moritz Wagner,WAS,45,8.7
Moses Brown,POR,9,1.2
Mychal Mulder,GSW,7,11
Myles Turner,IND,62,12.1
Nassir Little,POR,48,3.6
Naz Mitrou-Long,IND,5,2.8
Naz Reid,MIN,30,9
Nemanja Bjelica,SAC,72,11.5
Nerlens Noel,OKC,61,7.4
Nickeil Alexander-Walker,NOP,47,5.7
Nicolas Batum,CHA,22,3.6
Nicolas Claxton,BKN,15,4.4
Nicolo Melli,NOP,60,6.6
Nigel Williams-Goss,UTA,10,1.4
Nikola Jokic,DEN,73,19.9
Nikola Vucevic,ORL,62,19.6
Noah Vonleh,DEN,36,3.7
Norman Powell,TOR,52,16
Norvel Pelle,PHI,24,2.4
OG Anunoby,TOR,69,10.6
Omari Spellman,MIN,49,7.6
Oshae Brissett,TOR,19,1.9
Otto Porter Jr.,CHI,14,11.9
P.J. Tucker,HOU,72,6.9
P.J. Washington,CHA,58,12.2
PJ Dozier,DEN,29,5.8
Pascal Siakam,TOR,60,22.9
Pat Connaughton,MIL,67,5.4
Patrick Beverley,LAC,51,7.9
Patrick McCaw,TOR,37,4.6
Patrick Patterson,LAC,59,4.9
Patty Mills,SAS,66,11.6
Paul George,LAC,48,21.5
Paul Millsap,DEN,51,11.6
Paul Watson,TOR,10,3.1
Quinn Cook,LAL,44,5.1
Quinndary Weatherspoon,SAS,11,1.1
RJ Barrett,NYK,56,14.3
Rajon Rondo,LAL,48,7.1
Raul Neto,PHI,54,5.1
Rayjon Tucker,UTA,20,3.1
Reggie Bullock,NYK,29,8.1
Reggie Jackson,LAC,31,11.9
Richaun Holmes,SAC,44,12.3
Ricky Rubio,PHX,65,13
Robert Covington,HOU,70,12.4
Robert Williams III,BOS,29,5.2
Robin Lopez,MIL,66,5.4
Rodions Kurucs,BKN,47,4.6
Rodney Hood,POR,21,11
Rodney McGruder,LAC,56,3.3
Romeo Langford,BOS,32,2.5
Rondae Hollis-Jefferson,TOR,60,7
Royce O'Neale,UTA,71,6.3
Rudy Gay,SAS,67,10.8
Rudy Gobert,UTA,68,15.1
Rui Hachimura,WAS,48,13.5
Russell Westbrook,HOU,57,27.2
Ryan Anderson,HOU,2,2.5
Ryan Arcidiacono,CHI,58,4.5
Ryan Broekhoff,PHI,17,4.2
Sekou Doumbouya,DET,38,6.4
Semi Ojeleye,BOS,69,3.4
Serge Ibaka,TOR,55,15.4
Seth Curry,DAL,64,12.4
Shabazz Napier,WAS,56,10.3
Shai Gilgeous-Alexander,OKC,70,19
Shake Milton,PHI,40,9.4
Shamorie Ponds,TOR,4,2.3
Shaquille Harrison,CHI,43,4.9
Sindarius Thornwell,NOP,2,8
Skal Labissiere,ATL,33,5.8
Solomon Hill,MIA,59,5.5
Spencer Dinwiddie,BKN,64,20.6
Stanley Johnson,TOR,25,2.4
Stanton Kidd,UTA,4,0
Stephen Curry,GSW,5,20.8
Sterling Brown,MIL,52,5.1
Steven Adams,OKC,63,10.9
Svi Mykhailiuk,DET,56,9
T.J. McConnell,IND,71,6.5
T.J. Warren,IND,67,19.8
TJ Leaf,IND,28,3
Tacko Fall,BOS,7,3.3
Taj Gibson,NYK,62,6.1
Talen Horton-Tucker,LAL,6,5.7
Tariq Owens,PHX,3,1.3
Taurean Prince,BKN,64,12.1
Terance Mann,LAC,41,2.4
Terence Davis,TOR,72,7.5
Terrance Ferguson,OKC,56,3.9
Terrence Ross,ORL,69,14.7
Terry Rozier,CHA,63,18
Thabo Sefolosha,HOU,41,2.2
Thaddeus Young,CHI,64,10.3
Thanasis Antetokounmpo,MIL,20,2.8
Theo Pinson,NYK,33,3.6
