FIRST,LAST,TEAM,AGE,HEIGHT,INCHES,TOTAL_HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Duane,Washington Jr.,NYK,23,6,2,74,197,Ohio State,Germany,Undrafted,Undrafted,Undrafted,31,17,14,12.7,7.9,3,8.3,36.7,1.3,3.6,36,0.5,0.8,66.7,0.1,1.1,1.2,2,1.1,0.2,0.1,0.7,12.2,0,0,-0.2,-0.5,0.4,8.5,29.8,45.8,26
TyTy,Washington Jr.,HOU,21,6,3,75,195,Kentucky,USA,2022,1,29,31,6,25,14,4.7,1.9,5.2,36.3,0.6,2.6,23.8,0.3,0.6,55.6,0.1,1.4,1.5,1.5,0.5,0.5,0.1,0.9,9.9,0,0,-1.5,-6.1,0.4,9.9,17,43.2,15.2
Yuta,Watanabe,BKN,28,6,8,80,215,George Washington,Japan,Undrafted,Undrafted,Undrafted,58,30,28,16,5.6,2,4,49.1,1,2.3,44.4,0.6,0.8,72.3,0.5,1.9,2.4,0.8,0.4,0.4,0.3,1.4,11.5,0,0,-0.1,-0.6,3.4,11.7,12.7,63.7,7.1
Lindy,Waters III,OKC,25,6,6,78,210,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,41,20,21,12.9,5.2,1.7,4.3,39.3,1.4,4,35.8,0.4,0.5,80,0.4,1.4,1.8,0.7,0.2,0.3,0.3,1,10,0,0,3.3,10.5,2.8,10.3,14.8,57.3,7.1
Trendon,Watford,POR,22,6,8,80,237,Louisiana State,USA,Undrafted,Undrafted,Undrafted,62,26,36,19.1,7.4,2.9,5.2,56,0.4,1,39.1,1.2,1.6,72,0.7,3.2,3.8,2.1,1.1,0.5,0.2,1.9,16.1,3,0,-2.9,-7.1,3.7,17.3,15.8,62.5,16.2
Peyton,Watson,DEN,20,6,7,79,200,UCLA,USA,2022,1,30,23,13,10,8.1,3.3,1.3,2.6,49.2,0.3,0.6,42.9,0.5,0.9,55,0.3,1.3,1.6,0.5,0.3,0.1,0.5,0.6,7.3,0,0,-2,-12,4.3,13.9,17.4,55.3,8.7
Blake,Wesley,SAS,20,6,4,76,185,Notre Dame,USA,2022,1,25,37,9,28,18.1,5,1.9,5.8,32.1,0.5,1.4,38.5,0.7,1.2,59.1,0.3,1.9,2.2,2.6,1.8,0.7,0.1,1.8,12.3,0,0,-5.4,-13.4,1.6,10.1,18,39.3,20.1
Russell,Westbrook,LAC,34,6,3,75,200,UCLA,USA,2008,1,4,73,36,37,29.1,15.9,5.9,13.6,43.6,1.2,3.9,31.1,2.8,4.3,65.6,1.2,4.6,5.8,7.5,3.5,1,0.5,2.2,35.1,24,4,-0.3,-0.2,4.2,14.7,26.6,51.3,36.4
Coby,White,CHI,23,6,5,77,195,North Carolina,USA,2019,1,7,74,37,37,23.4,9.7,3.6,8,44.3,1.7,4.6,37.2,0.8,0.9,87.1,0.2,2.6,2.9,2.8,1,0.7,0.1,1.6,18.7,1,0,1.9,4,0.9,11,17,57.2,15.9
Derrick,White,BOS,28,6,4,76,190,Colorado,USA,2017,1,29,82,57,25,28.3,12.4,4.3,9.2,46.2,1.8,4.8,38.1,2,2.3,87.5,0.6,2.9,3.6,3.9,1.2,0.7,0.9,2.2,26.2,7,0,6,11,2.3,9.8,17.4,60.4,19.1
Jack,White,DEN,25,6,7,79,225,Duke,Australia,Undrafted,Undrafted,Undrafted,17,13,4,3.9,1.2,0.5,1.1,42.1,0.2,0.5,33.3,0.1,0.2,66.7,0.4,0.6,1,0.2,0.1,0.2,0.1,0.5,3.6,0,0,-1,-14.1,8.6,17.7,13.3,51.7,9.3
Joe,Wieskamp,TOR,23,6,6,78,205,Iowa,USA,2021,2,41,9,6,3,5.5,1,0.3,1.6,21.4,0.3,1.3,25,0,0,0,0,0.4,0.4,0.3,0.1,0,0,0.3,1.9,0,0,0.2,1,0,6.8,11.5,32.1,8.3
Aaron,Wiggins,OKC,24,6,5,77,190,Maryland,USA,2021,2,55,70,37,33,18.5,6.8,2.7,5.2,51.2,0.7,1.7,39.3,0.8,1,83.1,1,2,3,1.1,0.8,0.6,0.2,1.6,13.7,1,0,0.1,1.5,5,10.9,14.3,60.7,8.4
Andrew,Wiggins,GSW,28,6,7,79,197,Kansas,Canada,2014,1,1,37,19,18,32.2,17.1,6.8,14.3,47.3,2.4,6.1,39.6,1.2,1.9,61.1,1.6,3.4,5,2.3,1.3,1.2,0.8,2.9,31.2,3,0,3.2,5.2,5,10.1,21.2,56.4,10
Lindell,Wigginton,MIL,25,6,1,73,189,Iowa State,Canada,2019,,,7,4,3,12.4,7.1,2.6,5.3,48.6,0.9,2.6,33.3,1.1,1.3,88.9,0,1,1,2,1.7,0,0.3,1,10.5,1,0,-5.6,-20.2,0,7.7,25.1,61,26.4
Alondes,Williams,BKN,24,6,4,76,210,Wake Forest,USA,Undrafted,Undrafted,Undrafted,1,1,0,5.3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,-0.8,0,0,-5,-53,0,25,14.3,0,0
Donovan,Williams,ATL,21,6,6,78,190,UNLV,USA,Undrafted,Undrafted,Undrafted,2,1,1,2.1,2,1,2.5,40,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3.2,0,0,3,60,0,40,38.5,40,0
Grant,Williams,BOS,24,6,6,78,236,Tennessee,USA,2019,1,22,79,55,24,25.9,8.1,2.7,6,45.4,1.5,3.7,39.5,1.2,1.5,77,1.1,3.5,4.6,1.7,1,0.5,0.4,2.4,17.8,3,0,2.6,5.9,4.2,13.4,12.8,60.5,8.6
Jalen,Williams,OKC,22,6,5,77,211,Santa Clara,USA,2022,1,12,75,36,39,30.3,14.1,5.5,10.6,52.1,1,2.7,35.6,2.1,2.5,81.2,1.1,3.4,4.5,3.3,1.6,1.4,0.5,2.5,28.3,3,0,-0.7,-1,3.5,10.9,18,60.1,15.2
Jaylin,Williams,OKC,21,6,9,81,240,Arkansas,USA,2022,2,34,49,23,26,18.7,5.9,2.1,4.8,43.6,0.9,2.3,40.7,0.8,1.1,70.4,0.9,4,4.9,1.6,0.8,0.6,0.2,2.3,15.8,0,0,-1.8,-4.6,4.5,23,13.3,55.9,10.9
Kenrich,Williams,OKC,28,6,6,78,210,TCU,USA,Undrafted,Undrafted,Undrafted,53,26,27,22.8,8,3.4,6.5,51.7,0.9,2.5,37.3,0.3,0.7,43.6,1.8,3.1,4.9,2,0.6,0.8,0.3,2.1,19.6,2,0,1.4,4.1,7.5,13.7,13.4,58.5,11.7
Mark,Williams,CHA,21,7,1,85,240,Duke,USA,2022,1,15,43,18,25,19.3,9,3.7,5.8,63.7,0,0,0,1.6,2.3,69.1,2.2,4.9,7.1,0.4,0.9,0.7,1,2.2,22.3,11,0,-1.8,-4.7,10.6,23.2,16.8,65.9,3.3
Nate,Williams,POR,24,6,5,77,205,Buffalo,USA,Undrafted,Undrafted,Undrafted,5,1,4,25.3,10.6,4.8,7.8,61.5,0.6,1.6,37.5,0.4,0.6,66.7,2,1,3,2,0.8,0.6,0.4,2.6,19.4,0,0,-7.6,-11,7,3.9,13.9,65.7,10
Patrick,Williams,CHI,21,6,7,79,215,Florida State,USA,2020,1,4,82,40,42,28.3,10.2,3.8,8.3,46.4,1.4,3.4,41.5,1.1,1.3,85.7,1,3,4,1.2,1.2,0.9,0.9,1.8,20.7,1,0,-1.7,-2.4,3.6,10.7,15.6,57.6,5.9
Ziaire,Williams,MEM,21,6,9,81,185,Stanford,USA,2021,1,10,37,21,16,15.2,5.7,2.3,5.3,42.9,0.7,2.6,25.8,0.5,0.6,77.3,0.4,1.7,2.1,0.9,1,0.4,0.2,1.6,10.3,0,0,-2.1,-5.2,2.8,10.5,17.8,51.1,8.6
Robert,Williams III,BOS,25,6,4,76,205,Virginia Commonwealth,USA,2022,2,47,35,24,11,23.5,8,3.6,4.9,74.7,0,0,0,0.7,1.2,61,3,5.4,8.3,1.4,1,0.6,1.4,1.9,25.2,6,0,4.9,-14.8,3,12,17.6,36.7,6.2
Vince,Williams Jr.,MEM,22,6,9,81,237,Texas A&M,USA,2018,1,27,15,7,8,7,2,0.8,2.7,30,0.3,1.9,14.3,0.1,0.1,100,0.3,0.7,1,0.3,0.3,0.4,0.1,0.8,4.9,0,0,-2.3,11.4,12.4,20.9,11.3,74.2,8.6
Zion,Williamson,NOP,22,6,6,78,284,Duke,USA,2019,1,1,29,17,12,33,26,9.8,16.2,60.8,0.2,0.7,36.8,6.1,8.6,71.4,2,5,7,4.6,3.4,1.1,0.6,2.2,42.8,5,0,5.1,7.8,6,14.8,28.8,65.2,23.1
