FIRST,LAST,TEAM,AGE,HEIGHT,INCHES,TOTAL_HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Jae,Crowder,MIL,32,6,6,78,235,Marquette,USA,2012,2,34,18,13,5,18.9,6.9,2.5,5.2,47.9,1.3,3.1,43.6,0.6,0.7,83.3,0.9,2.9,3.8,1.5,0.4,0.7,0.3,1.5,16.4,0,0,0,-0.8,4.6,13.4,12.5,62.4,10.2
Jarrett,Culver,ATL,24,6,6,78,195,Texas Tech,USA,2019,1,6,10,5,5,13.7,4.4,1.7,4.3,39.5,0.1,1.2,8.3,0.9,1.3,69.2,1,2.8,3.8,0.6,0.7,0.6,0.2,1.4,11.6,0,0,-1.9,-5.7,6.5,21.9,16.4,45.2,5.5
Cade,Cunningham,DET,21,6,7,79,220,Oklahoma State,USA,2021,1,1,12,3,9,33.3,19.9,7.8,18.7,41.5,1.4,5.1,27.9,3,3.6,83.7,1,5.2,6.2,6,3.3,0.8,0.6,2.8,37.3,3,0,-5,-6.1,2.7,14.8,28.7,49.2,30.6
Seth,Curry,BKN,32,6,1,73,185,Duke,USA,Undrafted,Undrafted,Undrafted,61,37,24,19.8,9.2,3.4,7.4,46.3,1.5,3.8,40.5,0.8,0.9,92.7,0.2,1.4,1.6,1.6,0.8,0.6,0.1,1.6,14.9,0,0,-1.1,-3.5,1.1,7.1,18.8,59.3,12.1
Stephen,Curry,GSW,35,6,2,74,185,Davidson,USA,2009,1,7,56,30,26,34.7,29.4,10,20.2,49.3,4.9,11.4,42.7,4.6,5,91.5,0.7,5.4,6.1,6.3,3.2,0.9,0.4,2.1,46.8,12,1,4.8,5.8,2,14.7,29.7,65.6,27.4
Dyson,Daniels,NOP,20,6,7,79,199,None,Australia,2022,1,8,59,33,26,17.7,3.8,1.5,3.5,41.8,0.5,1.5,31.4,0.4,0.7,65,0.6,2.6,3.2,2.3,1,0.7,0.2,1.7,12.9,0,0,-0.1,0.4,3.5,14,11.3,50.3,17.2
Anthony,Davis,LAL,30,6,10,82,253,Kentucky,USA,2012,1,1,56,31,25,34,25.9,9.7,17.2,56.3,0.3,1.3,25.7,6.2,7.9,78.4,3.5,9.1,12.5,2.6,2.2,1.1,2,2.6,52,40,0,3.7,4.8,10.2,24.8,27.7,62.7,12.8
Johnny,Davis,WAS,21,6,4,76,195,Wisconsin,USA,2022,1,10,28,10,18,15.1,5.8,2.4,6.1,38.6,0.6,2.5,24.3,0.5,1,51.9,0.4,2,2.3,1,0.6,0.4,0.3,1.7,11.4,0,0,-1.9,-6.2,2,12.5,19.2,44.6,10
Terence,Davis,SAC,26,6,4,76,201,Mississippi,USA,Undrafted,Undrafted,Undrafted,64,38,26,13.1,6.7,2.4,5.7,42.3,1.4,3.8,36.6,0.5,0.7,79.1,0.3,1.9,2.2,1,0.8,0.7,0.2,1.6,12.7,0,0,0.7,4,2.4,14,21.5,56.3,11
JD,Davison,BOS,20,6,1,73,195,Alabama,USA,2022,2,53,12,11,1,5.5,1.6,0.7,1.6,42.1,0.2,0.6,28.6,0.1,0.2,50,0.2,0.6,0.8,0.9,0.3,0.2,0.2,0.4,4.5,0,0,-0.5,-5.8,3.3,9.3,15.7,47.8,23.4
Darius,Days,HOU,23,6,7,79,245,Louisiana State,USA,Undrafted,Undrafted,Undrafted,4,0,4,6.2,3.8,1.3,3,41.7,0.8,2.5,30,0.5,0.5,100,0.3,1.3,1.5,0.3,0,0,0.3,0.5,6.7,0,0,0.3,-0.2,3.4,22.7,21,58.2,6.7
Dewayne,Dedmon,PHI,33,6,10,82,245,Southern California,USA,Undrafted,Undrafted,Undrafted,38,23,15,11.2,5.2,2,4,51,0.3,1,30.8,0.9,1.3,67.3,0.9,2.6,3.5,0.7,0.7,0.2,0.5,2,12,0,0,-3.3,-10.6,7.5,23.1,19.5,57.7,10.8
Matthew,Dellavedova,SAC,32,6,3,75,200,None,Australia,Undrafted,Undrafted,Undrafted,32,19,13,6.6,1.5,0.5,1.6,34,0.3,0.8,33.3,0.1,0.2,57.1,0,0.4,0.4,1.3,0.3,0.2,0,0.6,4.2,0,0,-1.6,-8.8,0.5,5.4,12.2,44.3,27.9
DeMar,DeRozan,CHI,33,6,6,78,220,Southern California,USA,2009,1,9,74,37,37,36.2,24.5,8.9,17.6,50.4,0.6,1.9,32.4,6.2,7.1,87.2,0.5,4.2,4.6,5.1,2.1,1.1,0.5,2.5,40.5,6,0,0.9,1.5,1.3,11.6,27.2,59.2,22.2
Moussa,Diabate,LAC,21,6,10,82,210,Michigan,France,2022,2,43,22,10,12,8.9,2.7,1.1,2.1,51.1,0,0.1,50,0.5,0.7,62.5,1.4,0.9,2.3,0.2,0.4,0.3,0.4,0.7,7.3,0,0,-1,-3.2,13.7,10.6,12.5,54.6,2.9
Mamadi,Diakite,CLE,26,6,9,81,228,Virginia,Guinea,Undrafted,Undrafted,Undrafted,22,15,7,8,2.6,1.1,2.3,48,0.3,1,33.3,0.1,0.1,100,0.4,1,1.4,0.4,0.5,0.2,0.4,1.2,6,0,0,-0.4,0.7,5.1,13.3,16.4,56,7
Hamidou,Diallo,DET,24,6,5,77,202,Kentucky,USA,2018,2,45,56,12,44,17.8,9.3,3.8,6.7,57.3,0.1,0.4,23.8,1.6,2.6,58.8,1,2.4,3.5,1,1.3,0.9,0.3,2.2,17.4,0,0,-0.3,-0.6,5.6,13.6,21,59.3,8.8
Gorgui,Dieng,SAS,33,6,10,82,248,Louisville,Senegal,2013,1,21,31,3,28,11.6,3.9,1.5,3.8,38.5,0.7,2.4,28,0.3,0.4,76.9,0.9,2.6,3.5,1.7,1,0.1,0.5,1.8,11.3,2,0,-4.9,-18.6,6.3,22,17.7,49.3,22.1
Ousmane,Dieng,OKC,20,6,9,81,185,None,France,2022,1,11,39,20,19,14.6,4.9,1.9,4.6,42,0.7,2.5,26.5,0.4,0.6,65.2,0.5,2.2,2.7,1.2,0.7,0.4,0.2,1.1,10.9,0,0,1,2.9,3,14.1,15.4,50.5,10.8
Spencer,Dinwiddie,BKN,30,6,5,77,215,Colorado,USA,2014,2,38,79,41,38,34.5,17.3,5.8,13.3,43.8,2.3,6.2,36.9,3.4,4.2,81.2,0.4,3.1,3.4,6.5,1.8,0.8,0.3,2.4,32.8,9,0,-0.1,-0.1,1,9.2,22,57.3,29.7
Donte,DiVincenzo,GSW,26,6,4,76,203,Villanova,USA,2018,1,17,72,42,30,26.3,9.4,3.3,7.5,43.5,2.1,5.3,39.7,0.8,1,81.7,1.1,3.4,4.5,3.5,1.6,1.3,0.1,1.8,23,4,0,1.7,2.9,4.1,12.3,14.6,59.3,17.6
Luka,Doncic,DAL,24,6,7,79,230,None,Slovenia,2018,1,3,66,33,33,36.2,32.4,10.9,22,49.6,2.8,8.2,34.2,7.8,10.5,74.2,0.8,7.8,8.6,8,3.6,1.4,0.5,2.5,56.8,36,10,1.9,2.1,2.4,22.4,36.8,60.9,40.8
Tyler,Dorsey,DAL,27,6,4,76,180,Oregon,USA,2017,2,41,3,2,1,2.8,3,1.3,1.7,80,0.3,0.7,50,0,0,0,0.3,0.3,0.7,0,0,0,0,0,3.8,0,0,0.7,7,10,10,22.7,90,0
Luguentz,Dort,OKC,24,6,4,76,220,Arizona State,Canada,Undrafted,Undrafted,Undrafted,74,36,38,30.7,13.7,4.6,11.8,38.8,1.8,5.5,33,2.7,3.5,77.2,1.7,2.9,4.6,2.1,1.2,1,0.3,3.3,25.1,5,0,0.5,0.9,5.3,9.2,19.4,51.3,9
Ayo,Dosunmu,CHI,23,6,5,77,200,Illinois,USA,2021,2,38,80,40,40,26.2,8.6,3.5,7.1,49.3,0.7,2.4,31.2,0.8,1,80.5,0.6,2.2,2.8,2.6,1.2,0.8,0.3,2.3,17.8,0,0,-1,-1.3,2.2,8.1,14.5,56.7,13.5
Devon,Dotson,WAS,23,6,1,73,185,Kansas,USA,Undrafted,Undrafted,Undrafted,6,1,5,8.9,0.5,0.2,1.7,10,0.2,0.7,25,0,0,0,1,0.7,1.7,1.3,0.5,0.8,0,1.5,6.5,0,0,-0.5,-5.7,10.7,8.5,10.2,15,21.1
Jeff,Dowtin Jr.,TOR,26,6,3,75,177,Rhode Island,USA,Undrafted,Undrafted,Undrafted,25,17,8,10.3,2.4,1,2.3,43.9,0.2,0.6,31.3,0.2,0.4,66.7,0.2,0.7,0.9,1.2,0.2,0.4,0.1,0.5,6.6,0,0,-0.4,-0.6,2.2,6.9,10.6,50,15.4
PJ,Dozier,SAC,26,6,6,78,205,South Carolina,USA,Undrafted,Undrafted,Undrafted,16,11,5,5,1.4,0.6,2.1,30.3,0.1,1,12.5,0,0,0,0.1,0.8,0.9,0.6,0.3,0.4,0.1,0.4,4.4,0,0,-1.4,-12.9,1.2,17.1,20.3,33.3,19.6
Goran,Dragic,MIL,37,6,4,76,190,None,Slovenia,2008,2,45,58,27,31,15,6.3,2.4,5.8,42.1,0.9,2.5,35.9,0.5,0.8,68.9,0.3,1.1,1.4,2.6,1.1,0.2,0.1,1.1,11.7,0,0,0.1,-0.6,1.8,7.5,19.8,51.4,23.7
Andre,Drummond,CHI,29,6,11,83,279,Connecticut,USA,2012,1,9,67,32,35,12.7,6,2.5,4.1,60.6,0,0,0,1,1.9,53.6,2.1,4.6,6.6,0.5,1.1,0.7,0.4,1.7,16.8,8,0,0.4,2.6,16,35.3,19.6,60.6,5.7
Chris,Duarte,IND,26,6,5,77,190,Oregon,Dominican Republic,2021,1,13,46,19,27,19.5,7.9,2.7,7.2,36.9,1.2,3.8,31.6,1.3,1.6,84.7,0.4,2.1,2.5,1.4,0.9,0.5,0.2,1.4,14.3,0,0,-2.5,-6.2,2,10.6,18.1,49.6,10.1
David,Duke Jr.,BKN,23,6,4,76,204,Providence,USA,Undrafted,Undrafted,Undrafted,23,10,13,9.9,3.7,1.6,3.4,46.2,0,0.5,8.3,0.5,0.7,70.6,0.5,0.8,1.3,0.9,0.8,0.4,0,1.3,7.2,0,0,-1.5,-6.3,4.9,7.8,18.7,49.7,14.5
Kris,Dunn,UTA,29,6,3,75,205,Providence,USA,2016,1,5,22,8,14,25.8,13.2,5.3,9.8,53.7,0.8,1.6,47.2,1.9,2.4,77.4,0.4,4.1,4.5,5.6,1.6,1.1,0.5,2.6,30.3,3,0,-2.8,-4.3,1.5,14.8,19.5,60.6,31.5
Kevin,Durant,PHX,34,6,10,82,240,Texas,USA,2007,1,2,47,34,13,35.6,29.1,10.3,18.3,56,2,4.9,40.4,6.5,7.1,91.9,0.4,6.3,6.7,5,3.3,0.7,1.4,2.1,47.7,5,1,5.5,6.8,1.2,16.6,30.5,67.7,22.8
Jalen,Duren,DET,19,6,11,83,250,Memphis,USA,2022,1,13,67,16,51,24.9,9.1,3.9,5.9,64.8,0,0,0,1.4,2.3,61.1,3.4,5.5,8.9,1.1,1.4,0.7,0.9,2.7,24.7,19,0,-4.2,-8.3,13,22.1,13.9,65.5,6.9
Tari,Eason,HOU,22,6,8,80,215,Louisiana State,USA,2022,1,17,82,22,60,21.6,9.3,3.6,8,44.8,0.7,2.1,34.3,1.3,1.8,75.2,2.4,3.7,6,1.1,1.2,1.2,0.6,2.3,22.1,7,0,-1.9,-4.8,10.1,17.2,18.4,52.5,7.5
Anthony,Edwards,MIN,21,6,4,76,225,Georgia,USA,2020,1,1,79,40,39,36,24.6,8.9,19.5,45.9,2.7,7.3,36.9,4,5.3,75.6,0.6,5.2,5.8,4.4,3.3,1.6,0.7,2.4,41.9,9,0,1.2,1.9,1.7,13.9,29.2,56.4,19.2
Kessler,Edwards,SAC,22,6,7,79,203,Pepperdine,USA,2021,2,44,36,17,19,10.7,2.8,1,2.6,38.7,0.5,1.5,30.9,0.3,0.4,73.3,0.6,1.1,1.7,0.6,0.4,0.4,0.2,1.1,7.1,0,0,0.1,2.2,5.9,10.2,11.9,50.2,7.3
Keon,Ellis,SAC,23,6,3,75,175,Alabama,USA,Undrafted,Undrafted,Undrafted,16,7,9,4.4,1.5,0.4,1,43.8,0.4,0.8,50,0.3,0.4,57.1,0.3,0.3,0.5,0.4,0.1,0.3,0.1,0.6,3.7,0,0,-1.3,-14.3,5.6,6.3,12.4,62.9,13.6
Joel,Embiid,PHI,29,7,1,85,280,Kansas,Cameroon,2014,1,3,66,43,23,34.6,33.1,11,20.1,54.8,1,3,33,10,11.7,85.7,1.7,8.4,10.2,4.2,3.4,1,1.7,3.1,56.2,39,1,6.4,8.8,5.7,24.3,37,65.5,23.3
Drew,Eubanks,POR,26,6,10,82,245,Oregon State,USA,Undrafted,Undrafted,Undrafted,78,31,47,20.3,6.6,2.7,4.3,64.1,0.1,0.2,38.9,1.1,1.6,66.4,1.7,3.7,5.4,1.3,0.9,0.5,1.3,2.2,19.7,3,0,-1.7,-4.1,8.4,18.3,12.2,66.6,9.2
Bruno,Fernando,ATL,24,6,10,82,240,Maryland,Angola,2019,2,34,39,13,26,10.4,3.9,1.5,2.9,52.7,0,0.1,0,0.9,1.3,70,1.4,2.1,3.5,0.8,0.6,0.2,0.9,1.9,11.8,1,0,-1.9,-8.9,12.3,19,15.9,57.1,11.7
Dorian,Finney-Smith,BKN,30,6,7,79,220,Florida,USA,Undrafted,Undrafted,Undrafted,66,31,35,30.4,8.3,3,7.6,39.1,1.7,5.1,33.7,0.7,0.9,76.3,1.7,3.1,4.8,1.5,0.9,0.8,0.5,2.2,19.6,2,0,-0.1,-0.3,5.5,10.5,12.9,52.3,7
Malachi,Flynn,TOR,25,6,1,73,175,San Diego State,USA,2020,1,29,53,29,24,13,4.6,1.6,4.6,36,0.9,2.5,35.3,0.5,0.6,75.8,0.3,1.2,1.4,1.3,0.5,0.4,0.1,1.2,9.3,0,0,-0.8,-3.5,1.9,9.7,16.8,47.9,14.5
Simone,Fontecchio,UTA,27,6,7,79,209,None,Italy,Undrafted,Undrafted,Undrafted,52,25,27,14.7,6.3,2.2,6,36.9,1.2,3.7,33,0.7,0.8,79.5,0.6,1.1,1.7,0.8,0.8,0.3,0.2,1.2,10.1,0,0,-3.9,-13.1,3.6,7,19.2,49.5,7.9
Bryn,Forbes,MIN,29,6,2,74,205,Michigan State,USA,Undrafted,Undrafted,Undrafted,25,9,16,10.7,3.6,1.2,3.3,36.1,0.6,1.8,30.4,0.6,0.6,100,0.2,0.4,0.6,0.7,0.5,0.3,0.1,0.9,5.9,0,0,-1.9,-8.5,1.5,4,15.5,49.7,8.7
Trent,Forrest,ATL,25,6,4,76,210,Florida State,USA,Undrafted,Undrafted,Undrafted,23,9,14,12,2.3,1.1,2.6,41.7,0,0.1,0,0.1,0.1,66.7,0.2,1.4,1.6,1.7,0.7,0.3,0.1,0.7,7.2,0,0,-2.5,-10.1,1.8,11.7,11.6,42.4,18.6
Michael,Foster Jr.,PHI,20,6,8,80,250,None,USA,Undrafted,Undrafted,Undrafted,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-100,0,0,0,0,0
Evan,Fournier,NYK,30,6,6,78,205,None,France,2012,1,20,27,15,12,17,6.1,2.1,6.1,33.7,1.3,4.2,30.7,0.7,0.8,85.7,0.1,1.7,1.8,1.3,0.8,0.6,0.1,1.7,11.6,0,0,-2,-4.7,0.8,9.6,17.9,47.1,11.1
De'Aaron,Fox,SAC,25,6,3,75,185,Kentucky,USA,2017,1,5,73,44,29,33.4,25,9.3,18.2,51.2,1.6,5,32.4,4.7,6,78,0.5,3.6,4.2,6.1,2.5,1.1,0.3,2.4,41.1,11,0,2.4,3.1,1.7,11.1,28.8,59.9,28.1
Markelle,Fultz,ORL,25,6,4,76,209,Washington,USA,2017,1,1,60,29,31,29.6,14,5.8,11.3,51.4,0.5,1.5,31,1.9,2.4,78.3,1.2,2.8,3.9,5.7,2.3,1.5,0.4,2.2,30.5,3,0,-2.2,-3.7,3.8,9.5,20.8,56.4,29
Wenyen,Gabriel,LAL,26,6,9,81,205,Kentucky,South Sudan,Undrafted,Undrafted,Undrafted,68,37,31,15.1,5.5,2.3,3.8,59.6,0.1,0.5,27.8,0.8,1.2,61.9,1.7,2.5,4.2,0.5,0.7,0.4,0.5,2.1,13.3,0,0,-0.5,-0.2,11.1,15.2,13.5,62.6,4.9
Daniel,Gafford,WAS,24,6,10,82,234,Arkansas,USA,2019,2,38,78,32,46,20.6,9,3.7,5.1,73.2,0,0,0,1.6,2.4,67.9,2.1,3.5,5.6,1.1,1.1,0.4,1.3,2.4,21.3,10,0,-1.1,-2.5,10.3,15.9,14.6,73.9,7.4
Darius,Garland,CLE,23,6,1,73,192,Vanderbilt,USA,2019,1,5,69,40,29,35.5,21.6,7.6,16.4,46.2,2.4,6,41,4,4.7,86.3,0.4,2.3,2.7,7.8,2.9,1.2,0.1,2.1,37.7,18,0,6.3,8,1.2,6.7,26.2,58.7,32.8
Usman,Garuba,HOU,21,6,8,80,229,None,Spain,2021,1,23,75,21,54,12.9,3,1.1,2.4,48.6,0.3,0.8,40.7,0.4,0.6,61.7,1.6,2.5,4.1,0.9,0.6,0.6,0.4,1.8,11.5,0,0,-3.4,-12.2,11,19.4,9.9,56.9,9.6
Luka,Garza,MIN,24,6,10,82,243,Iowa,USA,2021,2,52,28,15,13,8.7,6.5,2.3,4.1,54.3,0.5,1.4,35.9,1.5,1.9,78.8,1.2,1.1,2.3,0.6,0.5,0.1,0.1,1.5,10.2,0,0,0.6,2,13,12.8,24.5,65.2,10.3
Rudy,Gay,UTA,36,6,8,80,250,Connecticut,USA,2006,1,8,56,29,27,14.6,5.2,1.9,5.1,37.8,0.6,2.3,25.2,0.8,0.9,85.7,0.6,2.3,2.9,1,0.7,0.3,0.3,1.2,11.6,0,0,1,2.9,3.8,14.8,17.4,47.3,9.5
Paul,George,LAC,33,6,8,80,220,Fresno State,USA,2010,1,10,56,32,24,34.6,23.8,8.2,17.9,45.7,2.8,7.6,37.1,4.6,5.3,87.1,0.8,5.3,6.1,5.1,3.1,1.5,0.4,2.8,41.2,8,1,2.8,4,2.5,15.3,29.4,58.8,23.7
Taj,Gibson,WAS,38,6,9,81,232,Southern California,USA,2009,1,26,49,21,28,9.8,3.4,1.3,2.6,52,0.2,0.5,33.3,0.6,0.9,71.4,0.7,1.2,1.9,0.7,0.5,0.3,0.2,1.7,7.9,0,0,-0.1,-1.1,6.8,14.3,15.1,58.5,9.4
Josh,Giddey,OKC,20,6,8,80,216,None,Australia,2021,1,6,76,34,42,31.1,16.6,7.1,14.7,48.2,1,3.1,32.5,1.4,1.9,73.1,1.9,5.9,7.9,6.2,2.8,0.8,0.4,1.9,36,28,4,-1.4,-2.2,5.8,18.9,23.9,53.3,29.3
Shai,Gilgeous-Alexander,OKC,24,6,6,78,195,Kentucky,Canada,2018,1,11,68,33,35,35.5,31.4,10.4,20.3,51,0.9,2.5,34.5,9.8,10.9,90.5,0.9,4,4.8,5.5,2.8,1.6,1,2.8,50.4,3,0,2.2,2.7,2.3,10.9,31.8,62.6,24.9
Anthony,Gill,WAS,30,6,8,80,230,Virginia,USA,Undrafted,Undrafted,Undrafted,59,21,38,10.6,3.3,1.2,2.2,53.8,0.1,0.5,13.8,0.8,1.1,73.1,0.6,1.1,1.7,0.6,0.3,0.1,0.2,1.2,6.9,0,0,-0.2,-0.8,5.8,10,11.6,60.4,7.4
Jacob,Gilyard,MEM,24,5,9,69,160,Richmond,USA,Undrafted,Undrafted,Undrafted,1,0,1,40.8,3,1,3,33.3,1,3,33.3,0,0,0,0,4,4,7,2,3,0,3,25.3,0,0,-13,-14.9,0,9.5,5.2,50,21.2
Rudy,Gobert,MIN,31,7,1,85,258,None,France,2013,1,27,70,34,36,30.7,13.4,5.1,7.8,65.9,0,0,0,3.1,4.9,64.4,3.3,8.3,11.6,1.2,1.7,0.8,1.4,3,34,35,0,-0.1,0.4,11.1,26,16.1,67.5,5.8
Jordan,Goodwin,WAS,24,6,3,75,200,St. Louis,USA,Undrafted,Undrafted,Undrafted,62,22,40,17.8,6.6,2.5,5.7,44.8,0.6,1.9,32.2,0.9,1.1,76.8,0.9,2.4,3.3,2.7,0.9,0.9,0.4,1.5,17.7,0,0,-1.9,-4.5,5,13.1,16.5,53.1,22
Aaron,Gordon,DEN,27,6,8,80,235,Arizona,USA,2014,1,4,68,45,23,30.2,16.3,6.3,11.2,56.4,0.9,2.5,34.7,2.8,4.6,60.8,2.4,4.1,6.6,3,1.4,0.8,0.8,1.9,31.8,11,0,7.6,12.1,8.6,13.6,20.6,61.7,12.9
Eric,Gordon,LAC,34,6,3,75,215,Indiana,USA,2008,1,7,69,25,44,28.5,12.4,4.2,9.5,44.6,1.9,5.2,37.1,2.1,2.5,82.1,0.2,1.7,1.9,2.7,1.5,0.6,0.4,1.1,20.2,0,0,-3,-5.8,0.8,5.9,17.1,58.7,13.3
Devonte',Graham,SAS,28,6,1,73,195,Kansas,USA,2018,2,34,73,31,42,18.3,7.4,2.2,5.9,37.4,1.6,4.6,35.2,1.3,1.8,74.8,0.3,1.4,1.7,2.7,0.7,0.6,0.2,1.1,15.2,0,0,-2.2,-6.2,1.3,8.1,16.5,55.2,20.7
Jerami,Grant,POR,29,6,8,80,210,Syracuse,USA,2014,2,39,63,28,35,35.6,20.5,6.9,14.5,47.5,2.3,5.7,40.1,4.4,5.4,81.3,0.8,3.7,4.5,2.4,1.8,0.8,0.8,2.4,32.5,2,0,-0.6,-1.2,2.5,10.4,22.7,60.6,10.3
RaiQuan,Gray,BKN,23,6,7,79,269,Florida State,USA,2021,2,59,1,0,1,35.1,16,6,12,50,2,5,40,2,2,100,3,6,9,7,4,0,1,5,36.3,0,0,-14,-17.5,7.5,17.6,20.5,62.1,35
AJ,Green,MIL,23,6,5,77,190,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,35,27,8,9.9,4.4,1.5,3.6,42.4,1.3,3,41.9,0.1,0.1,100,0.2,1.1,1.3,0.6,0.3,0.2,0,0.9,7.1,0,0,-0.7,-4.9,1.6,10.5,15.9,60.7,9.2
Danny,Green,CLE,36,6,6,78,215,North Carolina,USA,2009,2,46,11,6,5,12.6,5.5,2,4.5,44.9,1.5,3.4,43.2,0.1,0.1,100,0.3,1,1.3,0.5,0.9,0.5,0.3,1.5,9.4,0,0,-1.5,-5.5,2.3,8,18.7,61.7,6.5
Draymond,Green,GSW,33,6,6,78,230,Michigan State,USA,2012,2,35,73,41,32,31.5,8.5,3.4,6.5,52.7,0.5,1.8,30.5,1.1,1.5,71.3,0.9,6.3,7.2,6.8,2.8,1,0.8,3.1,30.1,11,0,4.7,7,2.9,18.5,12.9,59.2,26.8
Jalen,Green,HOU,21,6,4,76,186,None,USA,2021,1,2,76,20,56,34.2,22.1,7.4,17.9,41.6,2.5,7.3,33.8,4.8,6.1,78.6,0.6,3.2,3.7,3.7,2.6,0.8,0.2,1.7,32.6,0,0,-5.9,-8.7,1.6,9.3,27.4,53.8,16.9
JaMychal,Green,GSW,33,6,9,81,227,Alabama,USA,Undrafted,Undrafted,Undrafted,57,30,27,14,6.4,2.4,4.4,54,0.7,1.9,37.8,0.9,1.2,77.6,1.3,2.3,3.6,0.9,0.9,0.4,0.4,1.8,13.7,0,0,-2.7,-8.2,8.7,16.4,16.9,65,9.4
Javonte,Green,CHI,29,6,5,77,205,Radford,USA,Undrafted,Undrafted,Undrafted,32,13,19,15,5.2,1.9,3.4,56.5,0.4,1.1,37.1,0.9,1.4,66.7,0.8,1.9,2.8,0.7,0.6,0.8,0.7,1.6,13.1,0,0,1.5,5.9,5.7,11.9,12.8,64.6,6.2
Jeff,Green,DEN,36,6,8,80,235,Georgetown,USA,2007,1,5,56,33,23,19.5,7.8,2.9,5.9,48.8,0.5,1.9,28.8,1.6,2.1,74.4,0.7,1.9,2.6,1.2,0.8,0.3,0.3,1.8,13.8,0,0,-3.4,-8,3.5,9.6,16.7,57.6,9.5
Josh,Green,DAL,22,6,7,79,200,Arizona,Australia,2020,1,18,60,27,33,25.7,9.1,3.4,6.4,53.7,1.1,2.8,40.2,1.1,1.6,72.3,0.9,2.1,3,1.7,1.2,0.7,0.1,2.6,16.5,1,0,1.3,2.5,3.7,8.7,14,64.5,9.6
AJ,Griffin,ATL,19,6,6,78,220,Duke,USA,2022,1,16,72,34,38,19.5,8.9,3.4,7.4,46.5,1.4,3.6,39,0.6,0.7,89.4,0.5,1.6,2.1,1,0.6,0.6,0.2,1.2,14.6,0,0,0.9,1.5,2.6,8,17.4,57.7,7
Blake,Griffin,BOS,34,6,9,81,250,Oklahoma,USA,2009,1,1,41,27,14,13.9,4.1,1.5,3.2,48.5,0.6,1.6,34.8,0.5,0.8,65.6,1.1,2.6,3.8,1.5,0.5,0.3,0.2,1.8,12.1,0,0,2.6,9.9,7.9,19.5,12.5,59,14.2
Quentin,Grimes,NYK,23,6,5,77,210,Houston,USA,2021,1,25,71,41,30,29.9,11.3,4,8.5,46.8,2.2,5.7,38.6,1.1,1.4,79.6,0.7,2.5,3.2,2.1,1,0.7,0.4,2.5,20.4,0,0,2.6,4.4,2.2,8.5,14.2,61.9,9.6
Rui,Hachimura,LAL,25,6,8,80,230,Gonzaga,Japan,2019,1,9,63,38,25,23.3,11.2,4.5,9.3,48.6,0.8,2.5,31.9,1.4,1.9,73.9,0.8,3.7,4.5,0.9,0.8,0.3,0.4,1.1,19.3,2,0,-0.4,-1.2,3.6,14.1,19.4,55.6,6
Tyrese,Haliburton,IND,23,6,5,77,185,Iowa State,USA,2020,1,12,56,28,28,33.6,20.7,7.4,15,49,2.9,7.2,40,3.1,3.6,87.1,0.6,3.1,3.7,10.4,2.5,1.6,0.4,1.2,44.5,32,0,-0.6,-1,1.8,9.2,23.8,62.4,45.7
Jordan,Hall,SAS,21,6,7,79,215,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted,9,1,8,9.2,3.1,1,3.1,32.1,0.3,1.7,20,0.8,1,77.8,0.3,1,1.3,1.2,0.8,0.1,0,0.7,6.1,0,0,-2.7,-13.1,3.3,12.9,19.7,43.8,22
R.J.,Hampton,DET,22,6,4,76,175,None,USA,2020,1,24,47,9,38,15.9,6.4,2.2,5,43,0.9,2.5,35.3,1.2,1.6,75,0.4,1.5,1.9,1.1,0.9,0.6,0.2,1.1,11.8,0,0,-3,-8.7,2.4,9.3,17.5,55.8,11
Tim,Hardaway Jr.,DAL,31,6,5,77,205,Michigan,USA,2013,1,24,71,37,34,30.3,14.4,4.8,11.9,40.1,3,7.7,38.5,1.8,2.3,77,0.3,3.2,3.5,1.8,0.8,0.7,0.2,1.7,23.1,0,0,2.3,3.4,1,10.8,20.1,55.4,8.8
James,Harden,PHI,33,6,5,77,220,Arizona State,USA,2009,1,3,58,39,19,36.8,21,6.4,14.5,44.1,2.8,7.2,38.5,5.4,6.2,86.7,0.7,5.4,6.1,10.7,3.4,1.2,0.5,1.9,46.2,36,5,4.8,6.1,2.1,15.1,24.7,60.7,43.9
Jaden,Hardy,DAL,20,6,3,75,198,None,USA,2022,2,37,48,20,28,14.8,8.8,3,6.9,43.8,1.3,3.3,40.4,1.4,1.6,82.3,0.2,1.6,1.9,1.4,1,0.4,0.1,1.3,13.5,0,0,-0.7,-3.1,1.5,10.6,24.8,57.1,14.7
Ron,Harper Jr.,TOR,23,6,5,77,245,Rutgers,USA,Undrafted,Undrafted,Undrafted,9,6,3,5.3,2.2,0.9,1.8,50,0.3,1,33.3,0.1,0.1,100,0.3,0.4,0.8,0.4,0,0,0.1,0.3,4.2,0,0,2.1,21.8,5.4,9.3,13.6,60.8,10.8
